wavelength,flux,ivar,mask,model
3600.0,17.695009231567383,0.011404985561966896,0,2.8827152252197266
3600.8,-14.237730026245117,0.00926616694778204,0,3.7663047313690186
3601.6000000000004,-11.59062385559082,0.008557385765016079,0,3.8003039360046387
3602.4000000000005,-8.14966869354248,0.008853991515934467,0,3.6939823627471924
3603.2000000000007,0.7563369870185852,0.00991926807910204,0,3.6450583934783936
3604.000000000001,-0.6643743515014648,0.011063747107982635,0,3.5963566303253174
3604.800000000001,3.106757402420044,0.010529831983149052,0,3.58087158203125
3605.6000000000013,-16.1087589263916,0.00920272059738636,0,3.5899839401245117
3606.4000000000015,-18.350967407226562,0.009140174835920334,0,3.6181464195251465
3607.2000000000016,-5.158257484436035,0.011241716332733631,0,3.6638097763061523
3608.000000000002,16.729331970214844,0.01164930034428835,0,3.7182140350341797
3608.800000000002,-1.4698264598846436,0.011129915714263916,0,3.767130136489868
3609.600000000002,1.2553117275238037,0.009848243556916714,0,3.812023401260376
3610.4000000000024,-3.018199920654297,0.010994063690304756,0,3.8499672412872314
3611.2000000000025,-5.208813190460205,0.011668617837131023,0,3.87705659866333
3612.0000000000027,-0.28050827980041504,0.014077538624405861,0,3.893181324005127
3612.800000000003,6.292384147644043,0.011395025067031384,0,3.894104480743408
3613.600000000003,4.850152492523193,0.01549710426479578,0,3.8756003379821777
3614.4000000000033,-16.616830825805664,0.009074941277503967,0,3.8399367332458496
3615.2000000000035,9.112370491027832,0.010508936829864979,0,3.7906925678253174
3616.0000000000036,1.9967595338821411,0.010611776262521744,0,3.7334189414978027
3616.800000000004,-0.9948831796646118,0.01391457300633192,0,3.669745445251465
3617.600000000004,-2.7203879356384277,0.009231542237102985,0,3.601408004760742
3618.400000000004,-1.1737351417541504,0.013369291089475155,0,3.529743194580078
3619.2000000000044,5.769373416900635,0.012391779571771622,0,3.4542911052703857
3620.0000000000045,15.171257972717285,0.014924874529242516,0,3.382642984390259
3620.8000000000047,-17.851123809814453,0.015095790848135948,0,3.319863796234131
3621.600000000005,-6.251552581787109,0.01478361152112484,0,3.2754271030426025
3622.400000000005,13.864444732666016,0.01527884230017662,0,3.2566468715667725
3623.2000000000053,8.875402450561523,0.016445672139525414,0,3.2628870010375977
3624.0000000000055,7.521149635314941,0.012093469500541687,0,3.2939798831939697
3624.8000000000056,13.977787017822266,0.012378064915537834,0,3.340440273284912
3625.600000000006,-4.893948554992676,0.009680615738034248,0,3.3888447284698486
3626.400000000006,16.015974044799805,0.01413306687027216,0,3.4252986907958984
3627.200000000006,0.6081697940826416,0.014483939856290817,0,3.4428913593292236
3628.0000000000064,10.380352973937988,0.016071293503046036,0,3.4417521953582764
3628.8000000000065,7.308448791503906,0.014521939679980278,0,3.4302334785461426
3629.6000000000067,2.2910938262939453,0.01691274531185627,0,3.4183552265167236
3630.400000000007,6.475733280181885,0.015566232614219189,0,3.41329026222229
3631.200000000007,2.23944354057312,0.013389384374022484,0,3.418626070022583
3632.0000000000073,-17.860183715820312,0.0119091235101223,0,3.4346024990081787
3632.8000000000075,-18.250959396362305,0.012385906651616096,0,3.461866617202759
3633.6000000000076,3.0422563552856445,0.016048431396484375,0,3.500929355621338
3634.400000000008,23.778614044189453,0.01540825143456459,0,3.551527261734009
3635.200000000008,13.052436828613281,0.016281448304653168,0,3.61208176612854
3636.000000000008,4.60115909576416,0.015866532921791077,0,3.677166223526001
3636.8000000000084,-0.8594281077384949,0.012135420925915241,0,3.7424614429473877
3637.6000000000085,12.517964363098145,0.015649346634745598,0,3.805102825164795
3638.4000000000087,4.269857406616211,0.013311420567333698,0,3.8649373054504395
3639.200000000009,-8.088233947753906,0.014028573408722878,0,3.925004720687866
3640.000000000009,21.22962760925293,0.01877329871058464,0,3.9816811084747314
3640.8000000000093,16.971099853515625,0.016107765957713127,0,4.0273823738098145
3641.6000000000095,12.3113431930542,0.015536865219473839,0,4.052237033843994
3642.4000000000096,11.847602844238281,0.011970405466854572,0,4.051916599273682
3643.20000000001,-6.905924320220947,0.01569106988608837,0,4.030501365661621
3644.00000000001,12.188631057739258,0.0180435162037611,0,3.9998042583465576
3644.80000000001,7.650729656219482,0.01644653081893921,0,3.9706544876098633
3645.6000000000104,10.309077262878418,0.017109762877225876,0,3.9519543647766113
3646.4000000000106,-4.875405788421631,0.0171691682189703,0,3.9454967975616455
3647.2000000000107,6.697583198547363,0.01684976927936077,0,3.9486184120178223
3648.000000000011,4.412503242492676,0.01855999045073986,0,3.960416555404663
3648.800000000011,4.539228916168213,0.01436125673353672,0,3.9835119247436523
3649.6000000000113,26.529346466064453,0.014018245041370392,0,4.022983551025391
3650.4000000000115,4.0236496925354,0.01710471883416176,0,4.085751533508301
3651.2000000000116,9.516276359558105,0.017998086288571358,0,4.173626899719238
3652.000000000012,-9.649428367614746,0.015013061463832855,0,4.280713081359863
3652.800000000012,1.9375897645950317,0.014927970245480537,0,4.392399311065674
3653.600000000012,12.110363960266113,0.018785672262310982,0,4.492304801940918
3654.4000000000124,-4.054409503936768,0.018413996323943138,0,4.570689678192139
3655.2000000000126,8.875258445739746,0.017056116834282875,0,4.619124412536621
3656.0000000000127,17.28830909729004,0.01849980652332306,0,4.638422012329102
3656.800000000013,4.028642654418945,0.01825818419456482,0,4.636715412139893
3657.600000000013,-1.8277350664138794,0.018041297793388367,0,4.6242876052856445
3658.4000000000133,-1.0815786123275757,0.01729772984981537,0,4.61103630065918
3659.2000000000135,4.89691686630249,0.017612887546420097,0,4.603144645690918
3660.0000000000136,-2.6266283988952637,0.01952255144715309,0,4.59958553314209
3660.800000000014,7.424937725067139,0.02106635645031929,0,4.596085548400879
3661.600000000014,10.89016056060791,0.022122858092188835,0,4.587830066680908
3662.400000000014,0.5719527006149292,0.015302031300961971,0,4.575613021850586
3663.2000000000144,-13.949902534484863,0.020845048129558563,0,4.562585353851318
3664.0000000000146,13.785377502441406,0.02425544708967209,0,4.5502238273620605
3664.8000000000147,21.32050323486328,0.01546093262732029,0,4.53939151763916
3665.600000000015,-5.077633857727051,0.0230731051415205,0,4.527373790740967
3666.400000000015,11.040982246398926,0.018545765429735184,0,4.5087785720825195
3667.2000000000153,7.353238582611084,0.020902298390865326,0,4.486504077911377
3668.0000000000155,-2.4933457374572754,0.017010841518640518,0,4.461596965789795
3668.8000000000156,4.447016716003418,0.022848114371299744,0,4.440620422363281
3669.600000000016,1.1743396520614624,0.030163230374455452,0,4.424950122833252
3670.400000000016,3.765772819519043,0.020954838022589684,0,4.4194722175598145
3671.200000000016,1.4618366956710815,0.023370100185275078,0,4.423888683319092
3672.0000000000164,-5.275428295135498,0.01399155892431736,0,4.426148414611816
3672.8000000000166,3.2823190689086914,0.022945944219827652,0,4.408999443054199
3673.6000000000167,4.775044918060303,0.022133372724056244,0,4.384126663208008
3674.400000000017,9.090128898620605,0.02871980518102646,0,4.343649864196777
3675.200000000017,-1.9209628105163574,0.020073065534234047,0,4.296342849731445
3676.0000000000173,6.901027679443359,0.02525659278035164,0,4.247837066650391
3676.8000000000175,2.556020736694336,0.023960350081324577,0,4.207015514373779
3677.6000000000176,4.467530250549316,0.024706562981009483,0,4.177809238433838
3678.400000000018,8.564282417297363,0.02714349329471588,0,4.160451889038086
3679.200000000018,14.091519355773926,0.027924971655011177,0,4.154047966003418
3680.000000000018,13.83177661895752,0.028320448473095894,0,4.155977249145508
3680.8000000000184,5.408713340759277,0.030454883351922035,0,4.160826206207275
3681.6000000000186,1.5252677202224731,0.030590949580073357,0,4.165309906005859
3682.4000000000187,2.1430611610412598,0.02858339063823223,0,4.1698079109191895
3683.200000000019,7.7085723876953125,0.025860274210572243,0,4.1775336265563965
3684.000000000019,2.3067171573638916,0.027897153049707413,0,4.185619354248047
3684.8000000000193,3.2423815727233887,0.02538801170885563,0,4.1860270500183105
3685.6000000000195,-3.53174090385437,0.02347254380583763,0,4.199923992156982
3686.4000000000196,0.4535916745662689,0.03325548395514488,0,4.210842609405518
3687.20000000002,17.678041458129883,0.03338758647441864,0,4.228180885314941
3688.00000000002,4.41855001449585,0.03100818581879139,0,4.2519659996032715
3688.80000000002,0.8940800428390503,0.03217615932226181,0,4.288412094116211
3689.6000000000204,7.057534217834473,0.03379696235060692,0,4.338075637817383
3690.4000000000206,9.72663402557373,0.025957994163036346,0,4.407336711883545
3691.2000000000207,0.144516259431839,0.03257323428988457,0,4.4795942306518555
3692.000000000021,-0.44325003027915955,0.027748465538024902,0,4.55649471282959
3692.800000000021,2.4729092121124268,0.027737870812416077,0,4.630134582519531
3693.6000000000213,4.5836968421936035,0.024772657081484795,0,4.694417476654053
3694.4000000000215,18.273540496826172,0.03375022113323212,0,4.740906238555908
3695.2000000000216,18.346345901489258,0.02847398817539215,0,4.763559818267822
3696.000000000022,-3.0809202194213867,0.031719278544187546,0,4.762725353240967
3696.800000000022,3.043384552001953,0.03427548706531525,0,4.744535446166992
3697.600000000022,0.07118748128414154,0.02643737383186817,0,4.724884510040283
3698.4000000000224,5.919346332550049,0.03680337220430374,0,4.7190775871276855
3699.2000000000226,-6.555537700653076,0.02533618174493313,0,4.738650321960449
3700.0000000000227,-2.4739573001861572,0.02946755662560463,0,4.781267166137695
3700.800000000023,2.5855870246887207,0.044784627854824066,0,4.834024429321289
3701.600000000023,3.4130947589874268,0.035263363271951675,0,4.880842685699463
3702.4000000000233,4.260552883148193,0.03277713805437088,0,4.904195785522461
3703.2000000000235,-3.997004985809326,0.03394631668925285,0,4.888708591461182
3704.0000000000236,12.583625793457031,0.031005822122097015,0,4.832102298736572
3704.800000000024,6.165493488311768,0.035481084138154984,0,4.742926120758057
3705.600000000024,1.9122204780578613,0.0398547425866127,0,4.634820461273193
3706.400000000024,7.277342796325684,0.03708403557538986,0,4.525935649871826
3707.2000000000244,5.875040531158447,0.029287191107869148,0,4.425008773803711
3708.0000000000246,-2.464794397354126,0.03771243616938591,0,4.3342695236206055
3708.8000000000247,8.045531272888184,0.030678724870085716,0,4.257460594177246
3709.600000000025,4.981297492980957,0.04049517214298248,0,4.199877738952637
3710.400000000025,2.170732259750366,0.033137738704681396,0,4.161551475524902
3711.2000000000253,5.062985420227051,0.037243083119392395,0,4.140491008758545
3712.0000000000255,1.7741484642028809,0.039495840668678284,0,4.13089656829834
3712.8000000000256,1.1993801593780518,0.04285086318850517,0,4.123900890350342
3713.600000000026,4.295461654663086,0.03700469061732292,0,4.110970497131348
3714.400000000026,-2.426442861557007,0.029977845028042793,0,4.088606834411621
3715.200000000026,5.263556003570557,0.037408921867609024,0,4.059263229370117
3716.0000000000264,-0.5672782063484192,0.03332196921110153,0,4.028443813323975
3716.8000000000266,3.533944606781006,0.032221511006355286,0,4.001852989196777
3717.6000000000267,-0.7736157774925232,0.03464049473404884,0,3.9857630729675293
3718.400000000027,2.6277337074279785,0.03905912861227989,0,3.986401081085205
3719.200000000027,16.902706146240234,0.03859466314315796,0,4.007952690124512
3720.0000000000273,0.42952489852905273,0.053663771599531174,0,4.048709392547607
3720.8000000000275,17.289752960205078,0.0405997596681118,0,4.106176376342773
3721.6000000000276,4.413496971130371,0.04711375758051872,0,4.171067237854004
3722.400000000028,4.028154373168945,0.052918691188097,0,4.23512601852417
3723.200000000028,1.766130805015564,0.03119344636797905,0,4.287064552307129
3724.000000000028,1.6254298686981201,0.04439212381839752,0,4.320993423461914
3724.8000000000284,-6.335220813751221,0.03346299007534981,0,4.332973957061768
3725.6000000000286,8.611787796020508,0.03888671472668648,0,4.321983814239502
3726.4000000000287,9.956412315368652,0.04374396428465843,0,4.294631004333496
3727.200000000029,15.673497200012207,0.03967183455824852,0,4.261070251464844
3728.000000000029,-1.86650812625885,0.04604237526655197,0,4.234253883361816
3728.8000000000293,3.381479263305664,0.040306203067302704,0,4.223675727844238
3729.6000000000295,-1.0674041509628296,0.03990868851542473,0,4.232934951782227
3730.4000000000296,10.397989273071289,0.03181101754307747,0,4.255341529846191
3731.20000000003,3.119933843612671,0.043337978422641754,0,4.278936862945557
3732.00000000003,13.617636680603027,0.049379512667655945,0,4.293915271759033
3732.80000000003,1.741446614265442,0.04204346612095833,0,4.296189785003662
3733.6000000000304,-1.2664381265640259,0.045925289392471313,0,4.2895097732543945
3734.4000000000306,10.642561912536621,0.038438986986875534,0,4.282245635986328
3735.2000000000307,11.261200904846191,0.03805961087346077,0,4.281022071838379
3736.000000000031,8.968352317810059,0.05739744380116463,0,4.287312984466553
3736.800000000031,6.585187911987305,0.0492699109017849,0,4.296571731567383
3737.6000000000313,-2.630502462387085,0.038147199898958206,0,4.301706314086914
3738.4000000000315,-5.438078880310059,0.04530267417430878,0,4.29461145401001
3739.2000000000317,-6.423264503479004,0.04917478561401367,0,4.271210193634033
3740.000000000032,9.912332534790039,0.041262827813625336,0,4.231368541717529
3740.800000000032,8.122723579406738,0.03983363136649132,0,4.179664611816406
3741.600000000032,0.6774392127990723,0.03761180490255356,0,4.126053333282471
3742.4000000000324,0.6951900124549866,0.03551069274544716,0,4.078507423400879
3743.2000000000326,-5.7674641609191895,0.030821507796645164,0,4.048558712005615
3744.0000000000327,8.666473388671875,0.03890909254550934,0,4.039538860321045
3744.800000000033,2.7871735095977783,0.03416087105870247,0,4.048422336578369
3745.600000000033,8.161930084228516,0.04398989677429199,0,4.0682454109191895
3746.4000000000333,10.11923885345459,0.03923692926764488,0,4.089701175689697
3747.2000000000335,11.177038192749023,0.04982217028737068,0,4.109358787536621
3748.0000000000337,3.6871728897094727,0.0419597253203392,0,4.128466606140137
3748.800000000034,7.226439476013184,0.04303541034460068,0,4.149445533752441
3749.600000000034,-2.6091036796569824,0.0425398126244545,0,4.172415256500244
3750.400000000034,0.005900704767554998,0.048072271049022675,0,4.196905136108398
3751.2000000000344,1.2022203207015991,0.04487045481801033,0,4.219454288482666
3752.0000000000346,2.8627231121063232,0.04864245280623436,0,4.23257303237915
3752.8000000000347,8.074689865112305,0.051373809576034546,0,4.231009006500244
3753.600000000035,4.409111499786377,0.04403017461299896,0,4.209946155548096
3754.400000000035,4.947028160095215,0.043747153133153915,0,4.170360565185547
3755.2000000000353,-4.348191261291504,0.04511159658432007,0,4.114563465118408
3756.0000000000355,8.014744758605957,0.04359402135014534,0,4.049798965454102
3756.8000000000357,2.7463366985321045,0.03353600203990936,0,3.9873859882354736
3757.600000000036,1.6812599897384644,0.05575496703386307,0,3.9448649883270264
3758.400000000036,-0.2896770238876343,0.06144961714744568,0,3.931638240814209
3759.200000000036,5.662105083465576,0.06058210879564285,0,3.9497976303100586
3760.0000000000364,-4.00506591796875,0.056427061557769775,0,3.9920990467071533
3760.8000000000366,0.05536825954914093,0.04986939579248428,0,4.04867696762085
3761.6000000000367,7.726818561553955,0.051838234066963196,0,4.102441787719727
3762.400000000037,5.664653778076172,0.04279422387480736,0,4.142951488494873
3763.200000000037,11.757030487060547,0.06215723603963852,0,4.164388179779053
3764.0000000000373,6.129982948303223,0.06318708509206772,0,4.161548614501953
3764.8000000000375,5.891652584075928,0.07479190081357956,0,4.131680488586426
3765.6000000000377,0.47699469327926636,0.06042350083589554,0,4.069488048553467
3766.400000000038,6.309648513793945,0.049642447382211685,0,3.970257520675659
3767.200000000038,3.025169849395752,0.07182898372411728,0,3.8405086994171143
3768.000000000038,4.12962532043457,0.06840870529413223,0,3.6975114345550537
3768.8000000000384,-1.0989784002304077,0.07220712304115295,0,3.556527614593506
3769.6000000000386,9.625022888183594,0.05536891892552376,0,3.4430925846099854
3770.4000000000387,2.341649055480957,0.0515899732708931,0,3.3792262077331543
3771.200000000039,3.419433116912842,0.06722090393304825,0,3.3757731914520264
3772.000000000039,-0.8914715051651001,0.05718265473842621,0,3.4279868602752686
3772.8000000000393,2.5848355293273926,0.05961889028549194,0,3.5210719108581543
3773.6000000000395,1.300929069519043,0.06715375930070877,0,3.6269137859344482
3774.4000000000397,6.365466594696045,0.04608850181102753,0,3.723632335662842
3775.20000000004,3.5405032634735107,0.06505030393600464,0,3.7878613471984863
3776.00000000004,2.9984946250915527,0.05229293927550316,0,3.8086349964141846
3776.80000000004,-5.277433395385742,0.05524003878235817,0,3.7893447875976562
3777.6000000000404,0.1859099566936493,0.05479051545262337,0,3.7370266914367676
3778.4000000000406,0.23865796625614166,0.055732712149620056,0,3.664649486541748
3779.2000000000407,3.181976318359375,0.05431406572461128,0,3.5869977474212646
3780.000000000041,4.731097221374512,0.048573244363069534,0,3.513434886932373
3780.800000000041,3.6738083362579346,0.0603485144674778,0,3.45525860786438
3781.6000000000413,7.8714189529418945,0.04627051204442978,0,3.4188332557678223
3782.4000000000415,-6.89599609375,0.05701344087719917,0,3.4104855060577393
3783.2000000000417,2.2317447662353516,0.05911535769701004,0,3.4335834980010986
3784.000000000042,4.372256278991699,0.05521271005272865,0,3.4886348247528076
3784.800000000042,0.12802238762378693,0.06057274714112282,0,3.5749759674072266
3785.600000000042,9.823375701904297,0.06534134596586227,0,3.682246685028076
3786.4000000000424,0.08643704652786255,0.0635114535689354,0,3.7962000370025635
3787.2000000000426,1.158023715019226,0.06576845794916153,0,3.8975110054016113
3788.0000000000427,7.700416564941406,0.07037066668272018,0,3.9698970317840576
3788.800000000043,9.738451957702637,0.0755963921546936,0,4.003208160400391
3789.600000000043,11.017617225646973,0.06864844262599945,0,3.9937407970428467
3790.4000000000433,4.007020950317383,0.06306177377700806,0,3.9508588314056396
3791.2000000000435,14.825201034545898,0.06914646923542023,0,3.8912105560302734
3792.0000000000437,-4.238296031951904,0.07167427241802216,0,3.8328285217285156
3792.800000000044,-2.0786964893341064,0.06389705091714859,0,3.795396089553833
3793.600000000044,-0.18375280499458313,0.047385796904563904,0,3.787069797515869
3794.400000000044,-8.872870445251465,0.0627952441573143,0,3.8058066368103027
3795.2000000000444,-5.697439670562744,0.05408544838428497,0,3.8423912525177
3796.0000000000446,2.4907243251800537,0.07770839333534241,0,3.886481285095215
3796.8000000000447,11.180615425109863,0.05465896055102348,0,3.92830228805542
3797.600000000045,8.59846019744873,0.056360818445682526,0,3.9615049362182617
3798.400000000045,0.32091450691223145,0.05915982648730278,0,3.981954574584961
3799.2000000000453,1.1580257415771484,0.08194933086633682,0,3.9865190982818604
3800.0000000000455,7.402471542358398,0.07536239922046661,0,3.977786064147949
3800.8000000000457,6.549646854400635,0.04980212450027466,0,3.9605164527893066
3801.600000000046,11.610305786132812,0.05978221073746681,0,3.936119318008423
3802.400000000046,9.354557991027832,0.05790448561310768,0,3.9084649085998535
3803.200000000046,0.04651707783341408,0.053980421274900436,0,3.8735151290893555
3804.0000000000464,9.663805961608887,0.04503002390265465,0,3.8295462131500244
3804.8000000000466,-6.5523529052734375,0.056629203259944916,0,3.773867607116699
3805.6000000000467,-0.21522893011569977,0.037220779806375504,0,3.730544328689575
