name,detuid,ra,dec,error_radius,source_extent,extent_likelihood,b0_detect_likelihood,b1_flux,b1_flux_error,b1_exposure,optical_flag
1eRASS J100025.0+015854,em01_152087_020_ML00011_002_c010,150.104232,1.981709,2.38989377,0.0000000,0.0000000,72.0185547,2.7344354e-13,5.72607079e-14,86.3198776,0
1eRASS J095902.2+021914,em01_149087_020_ML00019_012_c010,149.759392,2.320565,3.00360322,0.0000000,0.0000000,39.7675972,2.59148361e-13,5.76381933e-14,87.6902695,0
1eRASS J100152.1+021200,em01_152087_020_ML00045_002_c010,150.467290,2.200050,4.00140858,0.0000000,0.0000000,31.5302067,1.55203555e-13,4.38970929e-14,86.5147858,0
1eRASS J100032.7+021726,em01_152087_020_ML00112_002_c010,150.136427,2.290730,5.32678223,0.0000000,0.0000000,20.2295780,1.15735912e-13,3.85089367e-14,88.8519516,0
1eRASS J100210.2+023028,em01_152087_020_ML00068_002_c010,150.542592,2.507920,3.47085977,0.0000000,0.0000000,18.9167309,9.8016491e-14,3.54576225e-14,84.3292923,0
1eRASS J100159.2+022643,em01_152087_020_ML00109_002_c010,150.497030,2.445283,4.08974981,0.0000000,0.0000000,18.8041534,1.11823467e-13,3.8008513e-14,86.4014511,0
1eRASS J095908.8+021918,em01_149087_020_ML00085_012_c010,149.787018,2.321678,5.34445095,0.0000000,0.0000000,17.6170197,9.88970123e-14,3.51325888e-14,86.5468750,0
1eRASS J100012.6+023516,em01_152087_020_ML00071_002_c010,150.052848,2.587780,3.31473804,0.0000000,0.0000000,15.8003120,7.91401856e-14,3.12268759e-14,88.5153580,0
1eRASS J100114.7+020209,em01_152087_020_ML00098_002_c010,150.311569,2.035862,3.74186134,0.0000000,0.0000000,14.3748159,7.91647292e-14,3.14178242e-14,87.9716568,0
1eRASS J100043.2+020624,em01_152087_020_ML00234_002_c010,150.180399,2.106941,4.52850723,0.0000000,0.0000000,12.7365808,6.89490172e-14,2.95663762e-14,84.0146637,0
1eRASS J100146.4+020300,em01_152087_020_ML00260_002_c010,150.443409,2.050057,4.31303740,0.0000000,0.0000000,11.7824860,5.63362494e-14,2.76052459e-14,88.2075729,0
1eRASS J100116.4+023608,em01_152087_020_ML00270_002_c010,150.318463,2.602278,4.69238234,0.0000000,0.0000000,11.4867764,6.97193835e-14,3.01691655e-14,87.4990616,0
1eRASS J100131.4+022929,em01_152087_020_ML00537_002_c010,150.381162,2.491580,4.49607229,0.0000000,0.0000000,9.2987156,4.97465093e-14,2.46341305e-14,87.7788315,0
1eRASS J100113.9+022541,em01_152087_020_ML00257_002_c010,150.308090,2.428173,5.07499313,0.0000000,0.0000000,8.1550426,4.78759861e-14,2.49170276e-14,84.2605972,0
1eRASS J095938.1+021013,em01_149087_020_ML00466_012_c010,149.908879,2.170524,4.71184587,0.0000000,0.0000000,8.1396236,4.81559644e-14,2.48329393e-14,88.4159241,0
1eRASS J100154.0+022444,em01_152087_020_ML00268_002_c010,150.475337,2.412315,4.93161106,0.0000000,0.0000000,7.7688313,6.29809586e-14,2.91894703e-14,86.7668457,0
1eRASS J100023.8+020618,em01_152087_020_ML00267_002_c010,150.099403,2.105176,5.08519506,0.0000000,0.0000000,7.7563996,4.6200765e-14,2.40769098e-14,88.4922333,0
1eRASS J095924.6+015950,em01_149087_020_ML00459_012_c010,149.852693,1.997477,4.80386877,0.0000000,0.0000000,7.7296681,4.9943746e-14,2.53355093e-14,88.1708145,0
1eRASS J100156.0+020948,em01_152087_020_ML00523_002_c010,150.483378,2.163458,5.02388239,0.0000000,0.0000000,7.5296574,3.88986261e-14,2.18876566e-14,87.9233475,0
1eRASS J100238.0+015846,em01_152087_020_ML00290_002_c010,150.658748,1.979489,4.92657328,0.0000000,0.0000000,7.4868250,4.7502387e-14,2.50649077e-14,88.6027908,0
1eRASS J100054.6+023445,em01_152087_020_ML00271_002_c010,150.227892,2.579284,5.81768084,0.0000000,0.0000000,7.3042336,4.42057178e-14,2.30082897e-14,88.6683578,0
1eRASS J100029.6+022126,em01_152087_020_ML00534_002_c010,150.123381,2.357337,4.76174259,0.0000000,0.0000000,6.9564953,3.91133049e-14,2.15126277e-14,88.3221893,0
1eRASS J100249.3+021725,em01_152087_020_ML00251_002_c010,150.705771,2.290420,4.58320093,0.0000000,0.0000000,6.7127867,4.38032213e-14,2.45923277e-14,85.4318314,0
1eRASS J100148.4+021450,em01_152087_020_ML00478_002_c010,150.451723,2.247458,5.70298862,0.0000000,0.0000000,6.6443119,4.46077061e-14,2.47463234e-14,83.8950348,0
1eRASS J100049.6+020450,em01_152087_020_ML00544_002_c010,150.206700,2.080570,5.49625969,0.0000000,0.0000000,6.5678434,4.66566178e-14,2.62389411e-14,87.0010757,0
1eRASS J095938.4+023317,em01_149087_020_ML00229_012_c010,149.910138,2.554881,5.71761370,0.0000000,0.0000000,6.4485302,3.55099725e-14,3.30010745e-14,84.2076416,0
1eRASS J100127.8+021821,em01_152087_020_ML00536_002_c010,150.365926,2.305860,5.90140247,0.0000000,0.0000000,6.1872034,4.08645387e-14,2.27674833e-14,88.8767548,0
1eRASS J100048.3+014939,em01_152087_020_ML00510_002_c010,150.201502,1.827596,5.57286310,0.0000000,0.0000000,6.0862179,3.92665264e-14,2.26152342e-14,88.7345352,0
1eRASS J100214.0+020626,em01_152087_020_ML00507_002_c010,150.558340,2.107314,5.20874786,0.0000000,0.0000000,6.0139971,3.47242478e-14,2.00371437e-14,87.9247665,0
