slug,name,ra_deg,dec_deg,field_width_arcmin
ngc-300,NGC 300,13.722694,-37.684214,36
ngc-55,NGC 55,3.723342,-39.196628,36
ngc-7793,NGC 7793,359.457308,-32.591028,24
ngc-24,NGC 24,2.485592,-24.963131,16
eso-116-g012,ESO 116-G012,48.269775,-57.357247,12
