rank,signalToNoise,raDeg,decDeg
1,8.62,245.38,42.7656
2,7.52,37.9254,-4.8803
3,7.47,336.046,0.336
4,7.25,138.461,-0.761
5,7.02,179.052,-0.3463
6,6.41,338.912,1.4802
7,6.4,133.661,0.6372
8,6.39,139.043,-0.3948
9,6.36,37.3951,-3.6099
10,6.3,177.586,-0.6043
11,6.2,221.039,0.1773
12,6.17,180.427,-0.188
13,5.99,30.421,-5.0203
14,5.99,216.776,0.7232
15,5.95,139.706,2.2068
16,5.77,33.3622,-2.915
17,5.74,178.061,0.5243
18,5.71,133.12,0.4081
19,5.64,177.112,-0.6583
20,5.55,138.505,1.6646
21,5.45,336.23,-0.3638
22,5.43,130.371,0.4399
23,5.42,213.89,-0.0515
24,5.39,245.057,42.5066
25,5.37,219.213,-0.7013
26,5.37,213.778,-0.4879
27,5.35,134.118,2.1991
28,5.33,38.1165,-4.792
29,5.33,30.381,-5.5104
30,5.32,140.683,2.1374
31,5.31,219.43,-0.3264
32,5.27,178.102,-0.5087
33,5.22,215.066,0.968
34,5.22,223.082,0.1644
35,5.17,211.987,-0.4783
36,5.14,36.3804,-4.254
37,5.13,240.398,42.7484
38,5.08,182.474,-0.5622
39,5.07,140.419,-0.253
40,5.06,216.868,-0.2016
41,5.05,212.921,0.4053
42,5.04,223.094,-0.9723
43,5.03,37.6634,-4.9982
44,5.02,333.054,-0.1345
45,5.0,140.535,-0.4895
46,5.0,178.74,-1.4377
47,5.0,217.68,0.8108
48,4.98,220.79,1.0509
49,4.92,223.462,-1.1209
50,4.92,333.37,-0.1554
51,4.91,180.41,-0.5046
52,4.9,336.417,1.0777
53,4.88,220.395,-0.9047
54,4.87,213.604,-0.3631
55,4.84,224.257,-1.0034
56,4.83,335.4,1.3859
57,4.82,221.33,0.1107
58,4.78,33.133,-5.5513
59,4.77,338.016,0.0277
60,4.75,180.66,-1.3542
61,4.73,337.126,1.7066
62,4.73,216.651,0.7982
63,4.71,33.4748,-2.8818
64,4.71,220.586,0.3355
65,4.7,339.763,0.6681
